example_id                                             | status | run_time        |
------------------------------------------------------ | ------ | --------------- |
./spec/forms/developer_search_form.rb[1:1:1:1]         | passed | 0.1516 seconds  |
./spec/forms/developer_search_form.rb[1:1:2:1]         | passed | 0.05778 seconds |
./spec/forms/developer_search_form.rb[1:1:3:1]         | passed | 0.05648 seconds |
./spec/forms/developer_search_form.rb[1:1:3:2]         | passed | 0.09593 seconds |
./spec/system/forms/developer_search_form_spec.rb[1:1] | passed | 0.10325 seconds |
./spec/system/forms/developer_search_form_spec.rb[1:2] | passed | 0.15797 seconds |
./spec/system/forms/developer_search_form_spec.rb[1:3] | passed | 0.62588 seconds |
./spec/system/forms/developer_search_form_spec.rb[1:4] | passed | 0.16016 seconds |
./spec/system/forms/developer_search_form_spec.rb[1:5] | passed | 0.13883 seconds |
